"Word to all those i call mom, and there are a lot of yall.. HAPPY MOTHERS DAY  i love you all!"," surprise"
"@carinafox5 Wishing you a very Happy Mother's Day, Carina!!  Hugs...Joy"," surprise"
"@shahruz84 Don't fall to celebrity worship, though... just write what you think, do the best you can and rock on"," surprise"
"@Sammysamsam5 That movie made me cryHARDCORE!!!!!  I loved it..."," surprise"
"http://simoneserhan.tumblr.com new post"," surprise"
"@spahkleprincess it's my fave!"," surprise"
"@bartandlife DM me your email addy n i'll fwd dem 2 ya"," surprise"
"@liljizzel dope background","i will give you sadness"
"Happy Mother's Day to all the moms out there!  You are all amazing, and we would be nowhere without you!  Thanks for being our moms"," surprise"
"@azaxacavabanama  kashtam ! wonder what would be the similey  for CSK"," surprise"
"a slightly less disturbed night, after a while, which is a Good Thing. Looking forward to some quality time with my toadtastic boy"," happiness"
"Watchin TV. HAPPY MOMS DAY."," surprise"
"just installed youtube downloader  anyone knows how to make a trailer out of videos??"," surprise"
"enjoying lazying around eating roses chocolates  x","happy"
"Finallyy done !! And done clean'n lay'n down time 4 bed.. goshh its 3 o'clock !! Lol nite nite twitta heads"," surprise"
"@alisongo i heard it is not illegal unless you are caught"," surprise"
"@shawnemerriman go to vegas, but don't spend all ur money!!!!"," surprise"
"@robineccles Yes,  by 16 minutes now."," surprise"
"@rohanbabu I brought a buffalo 320gb for 3800...it has the fastest transfer rate for a usb hdd...I benchmarked it at 34mb/s on my comp!!!"," surprise"
"@princesssuperc you were amazing on snl!! loved it!"," surprise"
"@amysav83 you'll be fine  don't worry ... good luck again"," surprise"
"Pretty amazing weekend so far  but its bedtime ,, I'm exhausted ! Mothers day tomorrow  nighty night"," surprise"
"I loved Star Trek. It was so awesome. And the effects were brilliant! &quot;Live long and prosper.&quot; Hehe. I wanna see it again"," surprise"
"@Sanazypoo OMG!! Hahaha! I thought you were joking about Twittering that, hahaha!! Awesome, good times were had by all"," surprise"
"About to go to sleep. Fun","fun"
"Free for all... good nite I mean its a good nite, wateva"," neutral"
"@xantherrific online! www.dujourmag.com/subscribe"," surprise"
"@katehughes What were you doing up at that time??","i was sleeping"
"working away just now, hopefully it stays nice for the afternoon and evening! possible BBQ weather!"," enthusiasm"
"Happy Mother's Day to all the beautiful Moms out there.  (I'm kind of a Mom, i think my little pup counts!  )"," surprise"
"It turns out I'm really, like, sixty years old, guys. You were right!!!!!  I'm off to seek my future a little later than planned!"," surprise"
"@jordanknight Hey JK...Wish Evenlyn a Happy Mothers Day tomora for me..I had a Great Day, my gift will be tickets to see ya's ere in Oz"," surprise"
"@DirtyLiz It's because we're right"," surprise"
"@PumpkinPeazy Aww Thank u hun i cant believe ah  i will send you when i look pc =D cuz im login from mobile.i will send you,dear friend ^"," surprise"
"@dagadong  probably why he's still married to Joan perhaps?","neutral"
"@FrankieFiction Thankies.  I'll never be able to watch the movie Madagascar the same way again... hehe."," surprise"
"@flygirls &quot;Mom set the bar so high I need to learn to fly to reach it!&quot; -- now THAT's an awesome sentiment to read on Mother's Day."," surprise"
"Adams morgannnn for jumbo slice"," surprise"
"@LaneySmiles you know you lvoe me!"," surprise"
"@nlouisem thanks!!"," surprise"
"Perfect way to end a totally boring day? Sleep. Goodnight"," sleep"
"@gabemedina my problem is the other way around.  Except I have a loop hole.  Education = equivalent experience"," surprise"
"@fedgrub  dull life was on the soundtrack of one of my favourite showss"," surprise"
"listening to some brandy...never say never cd"," surprise"
"@MorganH03 Thanks for a great night, dear.  Perfectly completed my weekend.","love"
"@ohmeabby: any kimbeommie updates?","@kimbeommie: i will give you"
"@mzflip82 Simple my a#@"," surprise"
"@zelciia weird. I tot it will usually rain east coast first. And east coast usually gets more rain."," surprise"
"I am having the TIME of my LIFE"," surprise"
"@simoncurtis HAHA ...Your Hotter Than Justin Timberlake"," surprise"
"@karaokevegan Happy Mothersday","# happy"
"@EmmaCL thanks"," surprise"
"is feeling good.. kinda tired.. miss him... can't wait for grad this weekend!!"," enthusiasm"
"@jacquelinesteps Haha you're welcome! I was honestly going crazy too. Have a great night as well"," surprise"
"I just received a mothers day card from my lovely daughter wishing my a happy mothers day  http://tr.im/kWK9"," surprise"
"@horsesaavy82 Morning Amy  xxxxxxx"," surprise"
"@FelixKev hey Kev - keep with it. It seems crap at first but will def be worthwhile! Add LOADS of people, much more interesting"," neutral"
"@nitesofsuburbia that's SO YOU!"," surprise"
"is off to Body Power Expo! Thanks to Mike at Performance Network for the free tix!"," enthusiasm"
"@NKOTBSummertime LMAO. Joey is mine  I cant wait to meet them in july!"," surprise"
"just rocked home from maccas, and now signing a petition for big bang to tour aus  LOL"," surprise"
"@nsane8 @Icametumbling  Whether that's good or bad, I can't disagree with you there."," surprise"
"@MichelleZen you need to follow me so I could send you a direct message."," surprise"
"Oh that just made my evening.  I forgot Merlin was on tonight!  But its a toss up between Rove and Spielburg on Spielburg on ABC2 choices."," surprise"
"Star Trek was so good Im seeing it a third time...corse I do work at the movie theator"," surprise"
"@chaosd1 I love you, baby","love"
"@erniehalter yay Happy Mothers Day to me  Screw burnt breakfast in bed I'll take some E.  (erniehalter live &gt; http://ustre.am/2VkO)"," surprise"
"BOYSTOWN.  I`ll leave for Eastwood in 3hours.","neutral"
"...WITH PENNEY! thank you for letting me in at 11 at night","neutral"
"@Naughtycowgir1 I LOVE music!!!  I like almost everything!!"," enthusiasm"
"@verma it was an awesome talk  find it very true that i am watching the ruby community closely"," surprise"
"@mini_ritz thnx sweetie  how r u this evening? xo"," neutral"
"@Buddhistethics  congratulations  were you being mindful through the run as well or / and listening to music?","neutral"
"@waynemansfield thanks...."," surprise"
"@misterfuji I've always been pretty athletic, I especially love b-ball. Anyway, yeah I can run"," surprise"
"@KimKardashian Ciara was great at SNL..Kim...you were mentioned on SNL tonight..Justin T was really good also"," surprise"
"just did my bit to stimulate the economy"," surprise"
"assumes it wasnt so taboo to start an email with &quot;LOL&quot; considering that the reply it got started with &quot;ROFL. PWN3D.&quot; I love the internet!"," surprise"
"its like 2 in the morning..sometimes I just don't know exactly what is best to do..but I will def. figure it out!  ...HAPPY MOMS DAY!"," surprise"
"Had a great time with mpix shootout, just great  thanks mpix..."," happy"
"first day on new job,, bought a new clothes already and it was 40% off for employee discount!"," surprise"
"i like them all i just saw the movie 4.8 i would give it a 5 if Tyler Perry wasn't in it"," surprise"
"@pamjob yay  i'll do you a heart mk shout in a sec pam"," surprise"
"@lamarjmorgan looks like you need a local marketing person. I'm booked for 2 gigs in Vegas that day"," surprise"
"@creamspyder  thanks  you've been quiet lately!"," surprise"
"@great_northern http://twitpic.com/4wiqv - Awwww she looks like one of my kitty  little furry balls are the best!"," surprise"
"Finally home, watching saturday night live, then dreaming about my amanda boo"," surprise"
"@rayamartin http://twitpic.com/4wlpv - whooooooooooooa!!!!!!!!!!!! ang ganda ko dito ha!!!  thank you!"," surprise"
"is happy mothers day!","happy"
"still playing wii fit LOL fun fun fun,, movies tonight ill upload photos i took today right now check next tweet"," surprise"
"@ ginniejean there's a lot of mojo all over the place...  yes."," neutral"
"Just finishing shooting, can u believe it, but got the job done"," excitement"
"@freddurst I am semi in love with you. Just so ya know"," surprise"
"@RedJeans542 I have to pee.","neutral"
"Hope everyone is okay, especially Americans who are affected by the fire or the Swine flu(h1n1) . OKay, I should pray for them"," surprise"
"Went to a party last night. Dindin and I showed up in matching outfits ) GREAT MINDS THINK ALIKE ) Anyway, happy birthday, ate lara"," surprise"
"@Lukevdp Actually people were more decisive than that."," surprise"
"@erniehalter love your voice  sing Whisper!   (erniehalter live &gt; http://ustre.am/2VkO)"," surprise"
"Missing my mother... t-11 days! HAPPY MOTHER'S DAY!!"," surprise"
"Movie and popcorn time"," surprise"
"I was feeling guilty about buying a luxurious pair of shoes yesterday until my house mate just saw them and got over excited"," surprise"
"@limeice arre main toh bakwaas kar raha tha. Sunday morning bakwaas"," surprise"
"Hey cool: http://oproer.com/twwwitter/"," surprise"
"Almost dere  really tired eyes r really dry","neutral"
"is clamped out...haha"," surprise"
"@ezrabutler ...I wonder if the Dog is thinking the same thing....   #fml"," surprise"
"Just got off the phone with lainey the love of my life  . . . Now im taken a crap"," surprise"
"had a great night with some old friends...we're still &quot;home-town heroes&quot;....some things never change"," surprise"
"had a great night","love"
"@gm5000 I'll take a look tomorrow - definitely want to graph as many tweets as possible!"," surprise"
"Trying to get out to enjoy the weather &amp; train a little... Some minor beer tasting activity took place yesterday with @opsaksa etc"," surprise"
"home bound for mothers day","love"
"@KenFTWIN I just started watching 30 Rock too, borrowed seasons 1 and 2 from my dad   so good."," surprise"
"@abcddesigns Do you ever sleep?","no"
"IS PHONE FUCKING WITH TYSON"," surprise"
"N now the end to another wise great nite! Excuse me while I dream a little dream"," surprise"
"@mileycyruuus yes I can talk friench and in my picture this is me in france !!  Now , i'm in london and soon i'm going to L.A"," surprise"
"@joshtastic1 Going to see Star Trek"," excitement"
"@samthepenguin Wowza o____O you went the whole hog then","@samthepenguin i will give you"
"I love how when I leave my laptop on my bed it creates a nice toasty spot"," neutral"
"I love my mommy.","love"
"@jason_2008 thanks  there's a men's version in June. It's very popular."," neutral"
"@Lotay haha im jewish, i love that one"," surprise"
"@kristenstewart9 Hi!good luck for the mtvawards, Im sure you're going to win!I hope so!I Love your work! ha you speak spanish? take care"," surprise"
"I chopped a fringe in last night got tired of having it hang in my eyes. Made a mess"," surprise"
"@sweet_avenue Love your website! Wish I lived closer to sample the cupcakey treats","@sweet_avenue love"
"@unitechy wud like to. But I actually have a free weekend this time and family is visiting. so I'm staying put. next time"," surprise"
"@Chet6 yep infact she is popular, miss india 99, talented film actress .... and lot more"," surprise"
"@thisgelly @missneecie Happy Mother's Day to both of yall.  from me and my boys...","@missneecie happy mother's day!"
"We in bed now.","neutral"
"Had fun early night Vegas because Pool tomorrow"," fun"
"@djwhiteboyyy what's up? Not much, just listening to music  I'm in TX"," surprise"
"HAPPY MOTHERS DAY.!","love"
"I love crowded cars  and Ayanna!"," surprise"
"@lionschmion Honey I don't think you're kidding for a MOMENT, I feel that your dedication to the gorgeous smirky men is STRONG indeed!"," surprise"
"@KerronClement Have a good flight!","neutral"
"@pyrat_ ay beezy! finally lol its time to hookah so get off twiiter...love ya"," surprise"
"@DavidArchie Good morning David! Happy Mother's Day to your mom lol. Too bad u can't be with her. She is so awesome!"," surprise"
"Only just past 8am and already been spoiled rotton"," surprise"
